hora_actual,lastPrice,factor5,factor6,score_alcistabase,score_bajistabase,valor_total_fdusd,Decisión,Aciertos,deltascore,aciertosinfactorcompra,aciertosinfactorventa
2025-10-16 02:21:01.848775,111306.68,1,1,2626988.5391548043,1985131.1498936976,165.58863133929998,1,-1,641857.3892611067,0,0
2025-10-16 02:24:01.446024,111168.36,1,1,3964209.9355006046,2513467.1482390035,165.3611454436,1,-1,1450742.787261601,0,0
2025-10-16 02:27:02.352436,111128.76,1,1,1888923.1239991982,3204447.9709693,165.3133803451,-1,-1,-1315524.8469701016,-1,0
2025-10-16 02:30:01.399857,111073.11,1,1,2138558.0191422994,3176895.6079625986,165.3016984661,-1,1,-1038337.5888202991,0,0
2025-10-16 02:33:02.201330,111142.17,1,1,2264255.5588879962,3008131.8693899,165.3028386467,-1,-1,-743876.3105019038,0,0
2025-10-16 02:36:01.813048,111143.54,1,1,2423321.322553995,3102119.1207861993,165.3030230634,-1,-1,-678797.7982322043,0,0
2025-10-16 02:39:02.934058,111194.44,1,1,2953844.666260801,3409501.032712798,165.3037007989,-1,-1,-455656.3664519973,0,-1
2025-10-16 02:42:01.406737,111211.0,1,1,2245201.4633523966,2809025.8473372976,165.30397503,-1,-1,-563824.383984901,0,0
2025-10-16 02:45:02.662574,111203.43,1,1,3027206.0130648077,2664680.935259999,165.3039638032,1,1,362525.07780480897,0,1
2025-10-16 02:48:01.885416,111111.09,1,1,2424253.2284542955,2731833.7910237974,165.17341914520003,-1,-1,-307580.5625695018,-1,0
2025-10-16 02:51:01.421411,111122.0,1,1,2583170.8985601976,2704770.6489077974,165.16851114,-1,-1,-121599.75034759985,0,-1
2025-10-16 02:54:01.380014,111061.52,1,1,2477325.643528997,3277798.801862195,165.1675126152,-1,1,-800473.1583331982,0,0
2025-10-16 02:57:01.389901,110892.88,1,1,2311166.481079804,2986564.294505502,165.16472836879998,-1,1,-675397.8134256983,0,0
2025-10-16 03:00:01.444500,110878.77,1,3,2583664.620174704,2819118.364574602,165.1644954127,-1,1,-235453.74439989775,0,1
2025-10-16 03:03:01.386329,110840.0,1,1,2260147.206482905,2845027.9611021024,165.16385532,-1,1,-584880.7546191975,0,0
2025-10-16 03:06:01.862331,110821.69,1,1,2396695.385776805,2593547.0606819056,165.1635952875,-1,1,-196851.67490510037,0,1
2025-10-16 03:09:01.365911,110871.93,1,1,2271371.2619000077,2423647.238997703,165.1643824843,-1,-1,-152275.97709769523,0,-1
2025-10-16 03:12:01.430019,110861.79,1,1,2408904.561392607,2742652.4578666035,165.1642150729,-1,1,-333747.89647399634,0,1
2025-10-16 03:15:01.449764,110962.88,1,1,2519610.1263855034,2629554.533058202,165.1658840688,-1,-1,-109944.40667269845,0,-1
2025-10-16 03:18:01.810746,110926.11,1,1,2318468.5064563053,3214223.899842701,165.165276831,-1,1,-895755.3933863956,0,0
